category,token_set,output
# ===== HARDCODED PHRASES MOVED FROM PYTHON - KEEP AT TOP =====
standalone,HELLO,Hello!
standalone,GOODBYE,Goodbye!
standalone,THANKS,Thank you.
standalone,SORRY,Sorry.
standalone,YES,Yes.
standalone,NO,No.
standalone,OKAY,Okay.
standalone,GOOD,Good
standalone,GOOD MORNING,Good morning!
standalone,GOOD AFTERNOON,Good afternoon!
question,WHAT|NAME,What is name?
question,WHAT|YOU|NAME,What is your name?
question,WHERE|FROM,Where from?
question,WHERE|YOU|FROM,Where are you from?
question,YOU|FROM,You from? 
question,WHY|HERE,Why here?
question,WHY|YOU|HERE,Why are you here?
question,HOW|YOU,How are you?
question,HOW|YOU|TODAY,How are you today?
question,HOW|TODAY,How today?
question,WHAT|LIKE,What like?
question,LIKE|WHAT,Like what?
question,WHAT|YOU|LIKE,What do you like?
question,WHAT|UNDERSTAND,What understand?
question,WHAT|YOU|UNDERSTAND,What did you understand?
question,YOU|UNDERSTAND,Do you understand?
question,WHO|ME|FRIEND,Who is my friend?
question,"HOW|MORNING","How is morning?"
question,"HOW|YOU|MORNING","How is morning?"
question,"HOW|AFTERNOON","How is afternoon?"
question,"HOW|YOU|AFTERNOON","How is your afternoon?"
question,"WHERE|FRIEND","Where is friend?"
question,"WHERE|ME|FRIEND","Where is my friend?"
question,"WHAT|TODAY","What is today?"
question,"WHERE|YOU|TODAY","Where are you today?"
statement,GOOD|MORNING,Good morning!
statement,GOOD|AFTERNOON,Good afternoon!
statement,"GOOD|TODAY","Today is good."
statement,"I|KNOW|NAME","I know the name."
statement,"I|LIKE|MORNING","I like the morning."
statement,"I|LIKE|AFTERNOON","I like the afternoon."
statement,"I|WANT|EAT|MORNING","I want to eat this morning."
statement,"I|WANT|EAT|AFTERNOON","I want to eat this afternoon."
statement,ME|NAME,My name.
statement,I|LOVE|ME|FAMILY,I love my family.
statement,LOVE|ME|FAMILY,Love my family.
statement,I|NO|KNOW,I do not know.
statement,NO|KNOW,Do not know.
statement,THANKS|FRIEND,Thanks friend.
