phrase,english
AFTERNOON,Good afternoon!
AFTERNOON FAMILY,"Good afternoon, family."
AFTERNOON FRIEND,"Good afternoon, friend."
AFTERNOON GOODBYE,Good afternoon, goodbye.
AFTERNOON HELLO,Good afternoon!
AFTERNOON I,"Good afternoon, I."
AFTERNOON ME,"Good afternoon, me."
AFTERNOON MORNING,Good afternoon and morning.
AFTERNOON PLEASE,"Good afternoon, please."
AFTERNOON SORRY,"Good afternoon, sorry."
AFTERNOON THANKS,"Good afternoon, thank you."
AFTERNOON YOU,"Good afternoon, you."
BAD,Bad.
BAD EAT,"Bad, eat."
BAD FAMILY,Bad family.
BAD FRIEND,Bad friend.
BAD GO,"Bad, go."
BAD GOOD,Bad or good?
BAD HELP,"Bad, help."
BAD I,Bad, I.
BAD KNOW,"Bad, I don't know."
BAD ME,Bad, me.
BAD NO,Bad, no.
BAD OKAY,Bad, okay.
BAD SLEEP,"Bad, sleep."
BAD UNDERSTAND,"Bad, I don't understand."
BAD WANT,"Bad, want."
BAD YES,Bad, yes.
BAD YOU,Bad, you.
EAT,Eat.
EAT FAMILY,Family eats.
EAT FRIEND,Friend eats.
EAT FROM,Eat from here.
EAT HERE,Eat here.
EAT HOME,Eat at home.
EAT I,I eat.
EAT ME,I eat.
EAT TODAY,Eat today.
EAT YOU,You eat.
FAMILY,Family.
FAMILY EAT,Family eats.
FAMILY FRIEND,Family and friend.
FAMILY FROM,Family is from here.
FAMILY GO,Family goes.
FAMILY HELP,Family helps.
FAMILY HERE,Family is here.
FAMILY HOME,Family is home.
FAMILY I,My family.
FAMILY KNOW,Family knows.
FAMILY ME,My family.
FAMILY SLEEP,Family sleeps.
FAMILY TODAY,Family today.
FAMILY UNDERSTAND,Family understands.
FAMILY WANT,Family wants.
FAMILY YOU,Your family.
FRIEND,Friend.
FRIEND EAT,Friend eats.
FRIEND FAMILY,Friend and family.
FRIEND FROM,Friend is from here.
FRIEND GO,Friend goes.
FRIEND HELP,Friend helps.
FRIEND HERE,Friend is here.
FRIEND HOME,Friend is home.
FRIEND I,My friend.
FRIEND KNOW,Friend knows.
FRIEND ME,My friend.
FRIEND SLEEP,Friend sleeps.
FRIEND TODAY,Friend today.
FRIEND UNDERSTAND,Friend understands.
FRIEND WANT,Friend wants.
FRIEND YOU,Your friend.
FROM,From.
FROM FAMILY,From family.
FROM FRIEND,From friend.
FROM HERE,From here.
FROM HOME,From home.
FROM I,I am from here.
FROM ME,I am from here.
FROM YOU,You are from here.
GO,Go.
GO FAMILY,Family goes.
GO FRIEND,Friend goes.
GO FROM,Go from here.
GO HERE,Go here.
GO HOME,Go home.
GO I,I go.
GO ME,I go.
GO TODAY,Go today.
GO YOU,You go.
GOOD,Good.
GOOD BAD,Good or bad?
GOOD EAT,"Good, eat."
GOOD FAMILY,Good family.
GOOD FRIEND,Good friend.
GOOD GO,"Good, go."
GOOD HELP,"Good, help."
GOOD I,"Good, I."
GOOD KNOW,"Good, I know."
GOOD ME,"Good, me."
GOOD NO,Good, no.
GOOD OKAY,"Good, okay."
GOOD SLEEP,"Good, sleep."
GOOD UNDERSTAND,"Good, I understand."
GOOD WANT,"Good, I want."
GOOD YES,"Good, yes."
GOOD YOU,Good, you.
GOODBYE,Goodbye!
GOODBYE AFTERNOON,"Goodbye, good afternoon."
GOODBYE FAMILY,"Goodbye, family."
GOODBYE FRIEND,"Goodbye, friend."
GOODBYE HELLO,Hello and goodbye.
GOODBYE I,"Goodbye, I."
GOODBYE ME,"Goodbye, me."
GOODBYE MORNING,"Goodbye, good morning."
GOODBYE PLEASE,"Goodbye, please."
GOODBYE SORRY,"Goodbye, sorry."
GOODBYE THANKS,"Goodbye, thank you."
GOODBYE YOU,"Goodbye, you."
HELLO,Hello!
HELLO AFTERNOON,Good afternoon!
HELLO FAMILY,"Hello, family."
HELLO FRIEND,"Hello, friend."
HELLO GOODBYE,Hello and goodbye.
HELLO I,"Hello, I."
HELLO ME,"Hello, me."
HELLO MORNING,Good morning!
HELLO PLEASE,"Hello, please."
HELLO SORRY,"Hello, sorry."
HELLO THANKS,"Hello, thank you."
HELLO YOU,"Hello, you."
HELP,Help!
HELP FAMILY,Family helps.
HELP FRIEND,Friend helps.
HELP FROM,Help from here.
HELP HERE,Help here.
HELP HOME,Help at home.
HELP I,Help me!
HELP ME,Help me!
HELP TODAY,Help today.
HELP YOU,Help you.
HERE,Here.
HERE FAMILY,Family is here.
HERE FRIEND,Friend is here.
HERE FROM,Here from.
HERE HOME,Home is here.
HERE I,I am here.
HERE ME,I am here.
HERE YOU,You are here.
HOME,Home.
HOME FAMILY,Family is home.
HOME FRIEND,Friend is home.
HOME FROM,Home from.
HOME HERE,Home is here.
HOME I,I am home.
HOME ME,I am home.
HOME YOU,You are home.
HOW,How?
HOW EAT,How do you eat?
HOW FAMILY,How is your family?
HOW FRIEND,How is your friend?
HOW FROM,How are you from here?
HOW GO,How do you go?
HOW HELP,How can I help?
HOW HERE,How do I get here?
HOW HOME,How do I get home?
HOW I,How am I?
HOW KNOW,How do you know?
HOW ME,How am I?
HOW NAME,How do you say your name?
HOW SLEEP,How do you sleep?
HOW UNDERSTAND,How do you understand?
HOW WANT,How do you want it?
HOW YOU,How are you?
I,I.
I EAT,I eat.
I FAMILY,My family.
I FRIEND,My friend.
I FROM,I am from here.
I GO,I go.
I GO HERE,I am coming here.
I GO HOME,I am going home.
I HELP,I help.
I HELP YOU,I will help you.
I HERE,I am here.
I HOME,I am home.
I KNOW,I know.
I ME,I, me.
I NAME,My name.
I NOT UNDERSTAND,I do not understand.
I SLEEP,I sleep.
I TODAY,I, today.
I UNDERSTAND,I understand.
I WANT,I want.
I WANT EAT,I want to eat.
I WANT GO,I want to go.
I WANT GO HOME,I want to go home.
I WANT HELP,I need help.
I WANT HOME,I want to go home.
I WANT SLEEP,I want to sleep.
I YOU,You and I.
KNOW,Know.
KNOW FAMILY,Know family.
KNOW FRIEND,Know friend.
KNOW FROM,Know from here.
KNOW HERE,Know here.
KNOW HOME,Know home.
KNOW I,I know.
KNOW ME,I know.
KNOW NAME,Know the name.
KNOW TODAY,Know today.
KNOW YOU,Know you.
ME,Me.
ME EAT,I eat.
ME FAMILY,My family.
ME FRIEND,My friend.
ME FROM,I am from here.
ME GO,I go.
ME GO HOME,I am going home.
ME HELP,I need help.
ME HERE,I am here.
ME HOME,I am home.
ME I,Me, I.
ME KNOW,I know.
ME NAME,My name.
ME SLEEP,I sleep.
ME TODAY,Me, today.
ME UNDERSTAND,I understand.
ME WANT,I want.
ME YOU,Me and you.
MORNING,Good morning!
MORNING AFTERNOON,Good morning and afternoon.
MORNING FAMILY,"Good morning, family."
MORNING FRIEND,"Good morning, friend."
MORNING GOODBYE,"Good morning, goodbye."
MORNING HELLO,Good morning!
MORNING I,"Good morning, I."
MORNING ME,"Good morning, me."
MORNING PLEASE,"Good morning, please."
MORNING SORRY,"Good morning, sorry."
MORNING THANKS,"Good morning, thank you."
MORNING YOU,"Good morning, you."
NAME,Name.
NAME FAMILY,Family name.
NAME FRIEND,Friend's name.
NAME I,My name.
NAME ME,My name.
NAME WHAT,What is the name?
NAME WHO,Who is that?
NAME YOU,Your name.
NO,No.
NO BAD,"No, bad."
NO EAT,"No, I don't eat."
NO FAMILY,No family.
NO FRIEND,No friend.
NO GO,"No, don't go."
NO GOOD,No good.
NO HELP,"No, help."
NO I,No, I.
NO KNOW,"No, I don't know."
NO ME,No, me.
NO OKAY,No, okay.
NO SLEEP,"No, don't sleep."
NO UNDERSTAND,"No, I don't understand."
NO WANT,"No, I don't want."
NO YES,Yes or no?
NO YOU,No, you.
OKAY,Okay.
OKAY BAD,Okay, bad.
OKAY EAT,"Okay, eat."
OKAY FAMILY,Okay, family.
OKAY FRIEND,Okay, friend.
OKAY GO,"Okay, go."
OKAY GOOD,"Okay, good."
OKAY HELP,"Okay, help."
OKAY I,Okay, I.
OKAY KNOW,"Okay, I know."
OKAY ME,Okay, me.
OKAY NO,Okay, no.
OKAY SLEEP,"Okay, sleep."
OKAY UNDERSTAND,"Okay, I understand."
OKAY WANT,"Okay, I want."
OKAY YES,Okay, yes.
OKAY YOU,Okay, you.
PLEASE,Please.
PLEASE AFTERNOON,"Please, good afternoon."
PLEASE FAMILY,"Please, family."
PLEASE FRIEND,"Please, friend."
PLEASE GO HOME,Please go home.
PLEASE GOODBYE,"Please, goodbye."
PLEASE HELLO,"Please, hello."
PLEASE HELP,Please help me.
PLEASE I,"Please, I."
PLEASE ME,"Please, me."
PLEASE MORNING,"Please, good morning."
PLEASE SORRY,"Please, sorry."
PLEASE THANKS,"Please, thank you."
PLEASE YOU,"Please, you."
SLEEP,Sleep.
SLEEP FAMILY,Family sleeps.
SLEEP FRIEND,Friend sleeps.
SLEEP FROM,Sleep from here.
SLEEP HERE,Sleep here.
SLEEP HOME,Sleep at home.
SLEEP I,I sleep.
SLEEP ME,I sleep.
SLEEP TODAY,Sleep today.
SLEEP YOU,You sleep.
SORRY,Sorry.
SORRY AFTERNOON,"Sorry, good afternoon."
SORRY FAMILY,"Sorry, family."
SORRY FRIEND,"Sorry, friend."
SORRY GOODBYE,"Sorry, goodbye."
SORRY HELLO,"Sorry, hello."
SORRY I,"Sorry, I."
SORRY ME,"Sorry, me."
SORRY MORNING,"Sorry, good morning."
SORRY PLEASE,"Sorry, please."
SORRY THANKS,"Sorry, thank you."
SORRY YOU,"Sorry, you."
THANKS,Thank you.
THANKS AFTERNOON,"Thank you, good afternoon."
THANKS FAMILY,"Thank you, family."
THANKS FRIEND,"Thank you, friend."
THANKS GOODBYE,"Thank you, goodbye."
THANKS HELLO,"Thank you, hello."
THANKS I,"Thank you, I."
THANKS ME,"Thank you, me."
THANKS MORNING,"Thank you, good morning."
THANKS PLEASE,"Thank you, please."
THANKS SORRY,"Thank you, sorry."
THANKS YOU,"Thank you, you."
TODAY,Today.
TODAY EAT,Eat today.
TODAY FROM,From today.
TODAY GO,Go today.
TODAY HELP,Help today.
